date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
0.0,Scotland,England,0,1,British Championship,Glasgow,Scotland,False
0.0,Belgium,France,3,3,Friendly,Brussels,Belgium,False
0.0,Hungary,Austria,3,0,Friendly,Budapest,Hungary,False
0.0,France,Switzerland,1,0,Friendly,Paris,France,False
0.0,England,Northern Ireland,1,1,British Championship,Middlesbrough,England,False
0.0,Wales,Scotland,3,1,British Championship,Wrexham,Wales,False
0.0,Scotland,Northern Ireland,4,0,British Championship,Glasgow,Scotland,False
0.0,England,Wales,3,1,British Championship,Liverpool,England,False
0.0,England,Scotland,1,0,British Championship,London,England,False
0.0,Northern Ireland,Wales,2,2,British Championship,Belfast,Republic of Ireland,False
0.0,Hungary,Austria,0,0,Friendly,Budapest,Hungary,False
0.0,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False
0.0,Belgium,France,7,0,Friendly,Brussels,Belgium,False
0.0,Netherlands,Belgium,4,0,Friendly,Rotterdam,Netherlands,False
0.0,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,False
0.0,Northern Ireland,England,0,5,British Championship,Belfast,Republic of Ireland,False
0.0,Scotland,Wales,0,2,British Championship,Edinburgh,Scotland,False
0.0,Northern Ireland,Scotland,0,1,British Championship,Dublin,Republic of Ireland,False
0.0,Wales,England,0,1,British Championship,Cardiff,Wales,False
0.0,Hungary,Czechoslovakia,1,1,Friendly,Budapest,Hungary,False
0.0,Wales,Northern Ireland,4,4,British Championship,Wrexham,Wales,False
0.0,Scotland,England,2,1,British Championship,Glasgow,Scotland,False
0.0,France,Belgium,0,5,Friendly,Saint-Cloud,France,False
0.0,Belgium,Netherlands,5,0,Friendly,Antwerp,Belgium,False
0.0,Netherlands,Belgium,2,3,Friendly,Rotterdam,Netherlands,False
0.0,Uruguay,Argentina,0,2,Copa Lipton,Montevideo,Uruguay,False
0.0,Czechoslovakia,Hungary,4,4,Friendly,Prague,Bohemia,False
0.0,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,False
0.0,Hungary,Austria,3,1,Friendly,Budapest,Hungary,False
0.0,England,Northern Ireland,1,0,British Championship,Liverpool,England,False
0.0,Northern Ireland,Wales,2,3,British Championship,Belfast,Republic of Ireland,False
0.0,Wales,Scotland,1,0,British Championship,Wrexham,Wales,False
0.0,Scotland,Northern Ireland,3,0,British Championship,Glasgow,Scotland,False
0.0,England,Wales,1,1,British Championship,London,England,False
0.0,England,Scotland,1,1,British Championship,Newcastle,England,False
0.0,Hungary,Czechoslovakia,5,2,Friendly,Budapest,Hungary,False
0.0,Belgium,Netherlands,1,3,Friendly,Antwerp,Belgium,False
0.0,Belgium,France,1,2,Friendly,Brussels,Belgium,False
0.0,Austria,Hungary,3,1,Friendly,Vienna,Austria,False
0.0,Netherlands,Belgium,1,2,Friendly,Haarlem,Netherlands,False
0.0,Czechoslovakia,Hungary,5,3,Friendly,Prague,Bohemia,False
0.0,Hungary,Austria,4,1,Friendly,Budapest,Hungary,False
0.0,Northern Ireland,England,1,3,British Championship,Belfast,Republic of Ireland,False
0.0,Scotland,Wales,2,1,British Championship,Dundee,Scotland,False
0.0,Switzerland,France,1,2,Friendly,Geneva,Switzerland,False
0.0,Northern Ireland,Scotland,0,5,British Championship,Dublin,Republic of Ireland,False
